2413,-1
2414,4
2415,-2
2416,-1
2417,2
2418,2
2419,-1
3115,2
3116,0
3117,1
3141,-7
3142,1
3150,-1
3151,2
3175,3
3176,-1
3177,-1
3178,2
3206,2
3211,4
3212,2
3213,2
3214,2
3215,-1
3337,1
3692,2
3693,4
3694,1
3695,2
3696,6
3697,-6
3698,5
3699,-1
3700,-2
3769,-2
3770,3
3771,-1
3772,-3
3773,-6
3774,1
3776,-1
4046,1
4047,1
4048,2
4049,1
4056,-1
10070,1
10101,2
10102,3
10103,-1
10104,2
10323,1
10330,-1
10365,1
10366,2
10376,-2
10416,-4
10436,-6
10437,-1
10438,3
10439,-2
10477,2
10478,-3
10493,3
10494,5
10495,1
10496,7
10582,12
10598,-2
10599,4
10600,1
10601,-2
10602,1
10604,-8
10605,4
10606,3
10609,3
10612,1
10642,3
10653,-2
10654,-12
10672,2
10673,0
10674,0
10675,0
10676,2
10736,1
10742,1
10807,2
10810,1
10811,3
10812,1
10813,3
10814,2
10816,-2
10817,2
10818,1
10820,-1
10821,-1
10822,1
10837,1
10838,0
10839,1
10840,-1
10885,1
10917,2
10932,1
10932,1
10933,2
10978,-1
10979,1
10980,2
10981,1
10982,1
10986,1
10995,0
10999,10
11004,2
11005,-7
11006,0
11007,1
11010,2
11011,0
11012,0
11014,-4
11015,5
11016,2
11017,2
11018,-6
11019,-2
11094,-3
11097,-2
11103,-1
11104,-5
11127,1
264,0
265,-1
266,22
267,3
268,1
259,-1
260,1
261,9
262,1
263,-2
3841,-17
3942,5
3943,12
3944,5
3973,-2
1200,2
1201,-1
1119,0
1400,0
1202,-3
313,-1
314,-5
315,17
316,-4
317,-2
4042,6
4043,-5
4044,-3
4045,-2
4076,0
3683,-1
3684,-17
3685,10
3686,5
3383,-2
3386,2
3095,-6
3097,-2
3098,1
1389,1
1390,-1
1391,0
1392,-10
1393,4
