name,amount sold
Checkout Bag Charge (25 cents),26
Harvard Arc Hat / Oxford,2
Harvard Laptop Decal / HLS,2
Smart Water 20 OZ.,2
Harvard Applique Full Zip / L / Crimson,1
H 1636 Hat / Black,1
Harvard Applique Full Zip / S / Crimson,1
