name,sku,amount sold
Harvard Crest Infant Onesie / 12M / White,559,1
Harvard Crest Infant Onesie / 18M / White,560,1
Harvard Crest Hat / Ivory,10742,2
Harvard Ladies Crest T-Shirt / Crimson / S,3140,1
Women's Big Stripe Long Tee / Oxford / S,10837,1
Premium Comfort T-Shirt / Navy / M,11078,2
Harvard Wristband / Crimson,41,1
Harvard Youth Crest T-Shirt / Pink / YL,3386,1
Harvard Crest T-Shirt / L / Navy,3943,2
Ladies Arc T-Shirt / Ivory / M,10365,1
Premium Faded T-Shirt / Crimson / S,11081,1
Ladies French Terry Crew / Pink / S,10755,1
Cozy Full Zip Hoodie / S / Charcoal,2579,1
Harvard Youth Crest T-Shirt / Oxford / YM,3096,1
3-in-1 LED Stylus Pen / Black,10857,2
Harvard Teddy Bear / Chocolate,10477,1
Harvard H Spinner Keychain / Crimson / White,10998,1
Crest Travel Mug / Silver,10680,1
Harvard Crest Postcard / Black,2992,1
Harvard Mug / White,829,2
Windflow Umbrellas / Default,10015,1
Spartan Harvard Swiss Army Knife / White,11021,1
Harvard Hooded Arc Sweatshirt / Oxford / L,596,1
Harvard Hockey Applique Sweatshirt / Oxford / S,10687,1
Harvard Crest Joggers / XS / Oxford,10672,1
Harvard Long Sleeve T-Shirt / Crimson / M,10610,1
Ladies Arc T-Shirt / Ivory / XL,10367,1
Harvard Crest Joggers / S / Oxford,10673,1
Harvard 6-in-1 Golf Tool,10921,1
Premium Faded T-Shirt / Crimson / M,11082,1
Harvard Dog / Brown,10582,1
