product_name,sku,product_id,supply_price,old_count,new_count,dif,value_change,updated_at
Harvard Ladies Crest T-Shirt / Pink / XL,3772,ba1c2c87-6c0c-11e2-b1f5-4040782fde00,5.83,2,-1,-3,-17.490000000000002,2017-07-18 16:38:40
Harvard Ladies Crest T-Shirt / Oxford / S,3773,b251536f-6c0c-11e2-b1f5-4040782fde00,5.17,2,-4,-6,-31.02,2017-07-18 16:38:41
Harvard Ladies Crest T-Shirt / Oxford / M,3774,b357b233-6c0c-11e2-b1f5-4040782fde00,5.16,2,3,1,5.16,2017-07-18 16:38:42
Harvard Ladies Crest T-Shirt / Oxford / XL,3776,b4ac0405-6c0c-11e2-b1f5-4040782fde00,5.76,3,2,-1,-5.76,2017-07-18 16:38:42
Harvard Hooded Crest Sweatshirt / Navy / S,4046,608591b7-6c0c-11e2-b1f5-4040782fde00,12.99,4,5,1,12.99,2017-07-18 16:38:43
Harvard Hooded Crest Sweatshirt / Navy / M,4047,60e985ac-6c0c-11e2-b1f5-4040782fde00,12.13,1,2,1,12.13,2017-07-18 16:38:43
Harvard Hooded Crest Sweatshirt / Navy / L,4048,614dbe9e-6c0c-11e2-b1f5-4040782fde00,12.35,2,4,2,24.7,2017-07-18 16:38:44
Harvard Hooded Crest Sweatshirt / Navy / XL,4049,61b6b8fa-6c0c-11e2-b1f5-4040782fde00,12.47,2,2,0,0.0,2017-07-18 16:38:45
Harvard Hooded Crest Sweatshirt / Navy / XXL,4056,62112ddc-6c0c-11e2-b1f5-4040782fde00,16.12,1,0,-1,-16.12,2017-07-18 16:38:45
Leather Harvard Padfolio / Black,10070,1ed60860-cf9e-11e2-a415-bc764e10976c,10.53,8,8,0,0.0,2017-07-18 16:38:46
Youth Harvard Crest Hooded Sweatshirt / Oxford / YS,10101,5ed4a72c-b747-11e2-a415-bc764e10976c,12.04,2,4,2,24.08,2017-07-18 16:38:46
Youth Harvard Crest Hooded Sweatshirt / Oxford / YM,10102,6dbfb06a-b747-11e2-a415-bc764e10976c,12.04,3,6,3,36.12,2017-07-18 16:38:47
Youth Harvard Crest Hooded Sweatshirt / Oxford / YL,10103,7c01ccdb-b747-11e2-a415-bc764e10976c,12.04,5,4,-1,-12.04,2017-07-18 16:38:48
Youth Harvard Crest Hooded Sweatshirt / Oxford / YXL,10104,8a193954-b747-11e2-a415-bc764e10976c,12.04,0,2,2,24.08,2017-07-18 16:38:48
Vineyard Vines Harvard Tie / Light Blue / Vine and Ivy,10323,bc6a1b39-f23c-11e3-a0f5-b8ca3a64f8f4,33.49,5,5,0,0.0,2017-07-18 16:38:49
Harvard Crest Striped Bow Tie / Crimson / Striped,10330,4c4dbb8c-f596-11e3-a0f5-b8ca3a64f8f4,23.24,4,4,0,0.0,2017-07-18 16:38:49
Ladies Arc T-Shirt / Ivory / M,10365,b8ca3a65-013d-11e4-fbb5-48e2554dc297,5.0,1,2,1,5.0,2017-07-18 16:38:50
Ladies Arc T-Shirt / Ivory / L,10366,b8ca3a65-013d-11e4-fbb5-48e260cf4360,5.0,2,2,0,0.0,2017-07-18 16:38:51
Harvard Luggage Tag / Athletic H,10376,b8ca3a65-013d-11e4-fbb5-7f5997f44a76,3.58,2,2,0,0.0,2017-07-18 16:38:51
Harvard Sweatpants / Ivory / XL,10416,7969a9d5-6c0c-11e2-b1f5-4040782fde00,9.57,10,6,-4,-38.28,2017-07-18 16:38:52
H Long Sleeve T-shirt / Crimson / S,10436,a0369f1f-903d-11e4-f68e-c9b7cf587593,5.8,3,-3,-6,-34.8,2017-07-18 16:38:52
H Long Sleeve T-shirt / Crimson / M,10437,a0369f1f-903d-11e4-f68e-c9b7e88e6864,0.0,4,3,-1,-0.0,2017-07-18 16:38:53
H Long Sleeve T-shirt / Crimson / L,10438,a0369f1f-903d-11e4-f68e-c9b7ee01124f,0.0,3,6,3,0.0,2017-07-18 16:38:53
H Long Sleeve T-shirt / Crimson / XL,10439,a0369f1f-903d-11e4-f68e-c9b7f9e950a2,0.0,2,2,0,0.0,2017-07-18 16:38:54
Harvard Teddy Bear / Chocolate,10477,e52b2846-e93d-11e5-f98b-15c415043368,6.64,13,15,2,13.28,2017-07-18 16:38:55
Harvard Panda Bear,10478,e52b2846-e93d-11e5-f98b-15c435053d40,6.61,6,3,-3,-19.830000000000002,2017-07-18 16:38:55
Harvard Ladies Athletic Shorts / Maroon / S,10493,e52b2846-e93d-11e5-f98b-24be9952e3e3,11.41,2,2,0,0.0,2017-07-18 16:38:56
Harvard Ladies Athletic Shorts / Maroon / M,10494,e52b2846-e93d-11e5-f98b-24be9f2464a1,11.41,0,5,5,57.05,2017-07-18 16:38:56
Harvard Ladies Athletic Shorts / Maroon / L,10495,e52b2846-e93d-11e5-f98b-24bea34cdd4e,11.41,2,3,1,11.41,2017-07-18 16:38:57
Harvard Ladies Athletic Shorts / Maroon / XL,10496,e52b2846-e93d-11e5-f98b-24bea83800ce,11.41,2,9,7,79.87,2017-07-18 16:38:58
Harvard Dog / Brown,10582,064dce89-c73d-11e5-ec2a-b3080b6fcf03,8.86,6,18,12,106.32,2017-07-18 16:38:58
Harvard Hockey Applique Sweatshirt / Charcoal / XS,10598,064dce89-c73d-11e5-ec2a-e21db9e13bb1,15.5,3,1,-2,-31.0,2017-07-18 16:38:59
Harvard Quarter Zip Applique / Oxford / XS,10599,064dce89-c73d-11e5-ec2a-e21ee6192e13,15.5,4,8,4,62.0,2017-07-18 16:38:59
Harvard Quarter Zip Applique / Oxford / S,10600,064dce89-c73d-11e5-ec2a-e21ee673cd0d,15.5,1,2,1,15.5,2017-07-18 16:39:00
Harvard Quarter Zip Applique / Oxford / M,10601,064dce89-c73d-11e5-ec2a-e21ee6d0cd4d,15.5,3,1,-2,-31.0,2017-07-18 16:39:01
Harvard Quarter Zip Applique / Oxford / L,10602,064dce89-c73d-11e5-ec2a-e21ee7351cfc,15.5,1,2,1,15.5,2017-07-18 16:39:01
Harvard Hockey Applique Sweatshirt / Charcoal / S,10604,064dce89-c73d-11e5-ec2a-e21f214546c8,16.0,2,-6,-8,-128.0,2017-07-18 16:39:02
Harvard Hockey Applique Sweatshirt / Charcoal / M,10605,064dce89-c73d-11e5-ec2a-e21f2639a19b,16.0,1,5,4,64.0,2017-07-18 16:39:03
Harvard Hockey Applique Sweatshirt / Charcoal / L,10606,064dce89-c73d-11e5-ec2a-e21f2fb5eb6c,16.0,1,4,3,48.0,2017-07-18 16:39:03
Harvard Long Sleeve T-Shirt / Crimson / S,10609,064dce89-c73d-11e5-ec2a-e227424ed0e2,7.5,3,6,3,22.5,2017-07-18 16:39:04
Harvard Long Sleeve T-Shirt / Crimson / XL,10612,064dce89-c73d-11e5-ec2a-e227437e053e,7.5,2,3,1,7.5,2017-07-18 16:39:05
Harvard Applique Full Zip / XS / Crimson,10642,0274a24e-fd3d-11e6-f3f1-1a2e5e0990c4,15.5,0,3,3,46.5,2017-07-18 16:39:05
Harvard Teddy Bear / Brown,10653,060f02b1-c83d-11e6-fcd2-28dca226f540,6.64,5,3,-2,-13.28,2017-07-18 16:39:06
Harvard Crest Cinch Bag / Black,10654,060f02b1-c83d-11e6-fcd2-2e433d8aacc4,3.75,3,-9,-12,-45.0,2017-07-18 16:39:06
Harvard Crest Joggers / XS / Oxford,10672,060f02b1-c83d-11e6-fcd2-3952ea20e6da,16.0,4,6,2,32.0,2017-07-18 16:39:07
Harvard Crest Joggers / S / Oxford,10673,060f02b1-c83d-11e6-fcd2-3952ea74c82a,16.0,6,6,0,0.0,2017-07-18 16:39:07
Harvard Crest Joggers / M / Oxford,10674,060f02b1-c83d-11e6-fcd2-3952eacc790f,16.0,4,4,0,0.0,2017-07-18 16:39:08
Harvard Crest Joggers / L / Oxford,10675,060f02b1-c83d-11e6-fcd2-3952eb260cac,16.0,4,4,0,0.0,2017-07-18 16:39:09
Harvard Crest Joggers / XL / Oxford,10676,060f02b1-c83d-11e6-fcd2-3952eb81210b,16.0,5,7,2,32.0,2017-07-18 16:39:09
